"c_aircraftid","wifiservice","foodservice","seatcomfort","legroomcomfort","inflightservice","cleanliness","checkinservice","baggageservice","onboardservice","entertainment","boardingservice","onlineservice","ontimereach","departurearrivaltimeconvenient","toplist"
"F41E                     ",2.6,3.0,3.3,3.4,3.7,3.1,3.3,3.6,3.4,3.3,3.1,2.7,2.9,3.1,1
"KATR                     ",2.6,3.1,3.3,3.3,3.6,3.3,3.3,3.6,3.3,3.2,3.2,2.6,2.9,2.8,2
"CAJ                      ",2.6,3.3,3.5,3.3,3.5,3.3,3.4,3.7,3.3,3.3,3.4,2.8,3.0,3.1,3
"TOR                      ",2.7,3.1,3.3,3.1,3.6,3.1,3.2,3.6,3.3,3.1,3.1,2.9,3.1,3.3,4
"OKHO                     ",2.7,3.1,3.3,3.3,3.6,3.2,3.2,3.6,3.3,3.3,3.2,2.6,2.9,3.0,5
"SCUB                     ",2.7,3.1,3.3,3.3,3.6,3.2,3.3,3.6,3.3,3.2,3.2,2.7,2.9,3.0,6
"L159                     ",2.7,3.1,3.3,3.3,3.7,3.1,3.3,3.8,3.4,3.3,3.2,2.7,3.0,3.2,7
"LOCA                     ",2.7,3.1,3.3,3.3,3.7,3.3,3.2,3.5,3.4,3.3,3.2,2.6,3.0,3.0,8
"CAR                      ",2.7,3.1,3.3,3.4,3.7,3.1,3.3,3.7,3.4,3.3,3.3,2.8,3.0,3.0,9
"ISAT                     ",2.7,3.1,3.4,3.2,3.5,3.2,3.3,3.6,3.3,3.2,3.3,2.8,2.9,3.0,10
